id,name,gender,age,traits,status,interest
74,Michael Smith,male,39,meticulous,nurse," family-friendly movies,  sci-fi movies,  thriller movies,  classic movies"
75,David Miller,female,62,"practical, adventurous, creative",entrepreneur," action movies,  documentaries,  family-friendly movies,  classic movies,  romantic movies"
76,Linda Miller,male,29,optimistic,artist, family-friendly movies
77,Mary Brown,female,58,outgoing,scientist," family-friendly movies,  sci-fi movies"
78,David Williams,male,61,patient,artist," thriller movies,  classic movies"
79,John Garcia,female,36,"analytical, practical, empathetic, compassionate, meticulous",entrepreneur," romantic movies,  family-friendly movies,  action movies,  sci-fi movies"
80,Michael Miller,male,26,"energetic, optimistic",teacher," sci-fi movies,  comedy movies,  romantic movies,  family-friendly movies,  documentaries"
81,David Williams,female,38,"fun-loving, creative",teacher," action movies,  sci-fi movies,  romantic movies,  thriller movies"
82,Sarah Miller,male,30,"energetic, optimistic",student," documentaries,  sci-fi movies"
83,Linda Jones,female,67,"adventurous, fun-loving, empathetic",nurse," comedy movies,  romantic movies,  sci-fi movies,  action movies"
84,Mary Jones,male,41,"introspective, adventurous, energetic",retired," thriller movies,  classic movies,  family-friendly movies"
85,James Davis,female,56,compassionate,nurse," classic movies,  thriller movies"
86,Jane Brown,male,49,"outgoing, practical",designer," classic movies,  family-friendly movies,  thriller movies"
87,Mary Martinez,female,25,"fun-loving, energetic, optimistic, creative, practical",writer," classic movies,  comedy movies,  romantic movies,  action movies"
88,Mary Williams,male,30,"adventurous, creative, optimistic",writer, comedy movies
89,John Brown,female,60,creative,actor," action movies,  thriller movies,  sci-fi movies,  comedy movies,  documentaries"
90,Michael Williams,male,59,"energetic, empathetic",engineer," comedy movies,  family-friendly movies,  documentaries"
91,Linda Jones,female,21,"empathetic, outgoing, adventurous",student," classic movies,  action movies,  comedy movies"
92,Mary Garcia,male,64,"patient, caring, optimistic",doctor," classic movies,  action movies,  thriller movies"
93,Mary Taylor,female,22,"compassionate, patient, outgoing",entrepreneur, thriller movies
94,John Johnson,male,65,"practical, compassionate",writer," thriller movies,  documentaries,  classic movies,  family-friendly movies,  romantic movies"
95,Michael Davis,female,20,"ambitious, caring",actor," classic movies,  family-friendly movies,  romantic movies,  documentaries,  action movies"
96,John Jones,male,61,"optimistic, practical, patient, compassionate",writer," family-friendly movies,  classic movies,  documentaries"
97,Emily Jones,female,31,"creative, analytical",farmer," romantic movies,  sci-fi movies"
98,John Smith,male,22,"fun-loving, compassionate, optimistic, caring, adventurous",engineer," thriller movies,  documentaries"
99,David Davis,female,48,"meticulous, outgoing, introspective, analytical",artist," sci-fi movies,  classic movies,  action movies,  family-friendly movies,  comedy movies"
100,John Brown,male,52,"independent, optimistic, energetic",student," classic movies,  action movies,  sci-fi movies,  thriller movies"
101,John Jones,female,53,"energetic, independent, fun-loving, optimistic, meticulous",actor," action movies,  sci-fi movies,  comedy movies"
102,Robert Garcia,male,58,"creative, ambitious, outgoing",teacher," sci-fi movies,  documentaries,  classic movies,  romantic movies"
103,Mary Miller,female,23,"fun-loving, empathetic, outgoing, analytical",teacher," documentaries,  thriller movies"
104,John Jones,male,70,"energetic, introspective, practical, independent",nurse," sci-fi movies,  documentaries"
105,Michael Jones,female,24,"independent, practical",photographer," documentaries,  romantic movies,  thriller movies"
106,Linda Taylor,male,66,caring,actor," thriller movies,  classic movies,  romantic movies,  action movies,  sci-fi movies"
107,John Brown,female,53,"practical, caring, empathetic",nurse, documentaries
108,Michael Martinez,male,70,"adventurous, compassionate, practical",actor," comedy movies,  thriller movies"
109,Emily Taylor,female,46,"compassionate, outgoing, ambitious, practical",artist," thriller movies,  romantic movies"
110,Emily Garcia,male,69,independent,photographer," documentaries,  action movies"
111,Linda Williams,female,30,"meticulous, empathetic, analytical",scientist," thriller movies,  classic movies,  action movies,  documentaries,  comedy movies"
112,Mary Williams,male,36,"adventurous, empathetic, practical, outgoing, creative",musician," comedy movies,  romantic movies"
113,John Miller,female,40,optimistic,teacher," documentaries,  family-friendly movies,  romantic movies,  classic movies"
114,Michael Martinez,male,54,"introspective, energetic",retired, action movies
115,James Jones,female,60,"energetic, practical, meticulous",lawyer," classic movies,  family-friendly movies,  action movies"
116,Mary Davis,male,26,"patient, outgoing, creative, practical",photographer," documentaries,  classic movies,  thriller movies"
117,Mary Williams,female,54,"patient, compassionate, meticulous, practical, analytical",artist, family-friendly movies
118,Emily Davis,male,34,"caring, patient",designer," action movies,  family-friendly movies,  sci-fi movies,  comedy movies"
119,David Miller,female,62,"meticulous, outgoing, analytical, creative, independent",actor," comedy movies,  romantic movies,  thriller movies,  classic movies"
120,Sarah Brown,male,34,"ambitious, analytical",farmer," sci-fi movies,  thriller movies,  classic movies"
121,David Jones,female,38,"meticulous, patient, empathetic, optimistic, compassionate",retired," classic movies,  family-friendly movies,  sci-fi movies"
122,David Martinez,male,22,"practical, outgoing, optimistic, energetic, analytical",doctor," sci-fi movies,  family-friendly movies,  comedy movies,  romantic movies,  classic movies"
123,Emily Brown,female,28,optimistic,student," romantic movies,  comedy movies"
124,Sarah Johnson,male,53,adventurous,entrepreneur," thriller movies,  family-friendly movies,  sci-fi movies,  comedy movies,  romantic movies"
125,Sarah Martinez,female,57,meticulous,nurse," thriller movies,  action movies"
126,Mary Martinez,male,66,independent,teacher," sci-fi movies,  classic movies"
127,Robert Martinez,female,36,"introspective, creative, empathetic, ambitious, caring",artist," romantic movies,  family-friendly movies,  comedy movies,  thriller movies"
128,John Jones,male,68,"introspective, empathetic, creative, practical, ambitious",musician," romantic movies,  comedy movies,  classic movies,  family-friendly movies,  action movies"
129,Sarah Johnson,female,39,creative,engineer," classic movies,  action movies,  family-friendly movies"
130,Jane Jones,male,35,creative,photographer," comedy movies,  classic movies"
131,David Martinez,female,61,"analytical, adventurous, introspective",engineer," classic movies,  sci-fi movies,  documentaries"
132,Emily Smith,male,29,"practical, fun-loving, adventurous, creative, energetic",photographer, documentaries
133,Emily Taylor,female,50,creative,actor," romantic movies,  classic movies,  documentaries,  comedy movies"
134,David Smith,male,31,"practical, energetic",photographer," family-friendly movies,  sci-fi movies"
135,Jane Martinez,female,59,"independent, fun-loving, adventurous, meticulous, caring",photographer, classic movies
136,Emily Martinez,male,36,"fun-loving, creative, practical, outgoing, adventurous",photographer," action movies,  classic movies,  family-friendly movies"
137,Michael Jones,female,28,"compassionate, meticulous",lawyer, romantic movies
138,David Davis,male,40,"practical, meticulous, introspective",retired," family-friendly movies,  romantic movies,  action movies"
139,Mary Smith,female,23,caring,scientist, documentaries
140,Emily Davis,male,31,"ambitious, patient, fun-loving, outgoing, empathetic",photographer," action movies,  romantic movies,  sci-fi movies,  thriller movies,  classic movies"
141,Sarah Brown,female,53,"optimistic, creative",retired," documentaries,  sci-fi movies,  classic movies,  thriller movies"
142,James Williams,male,42,"compassionate, fun-loving, meticulous, ambitious, patient",retired," romantic movies,  sci-fi movies,  comedy movies,  family-friendly movies"
143,John Miller,female,36,"meticulous, compassionate, ambitious, introspective, creative",designer, classic movies
144,Sarah Miller,male,58,"creative, meticulous, compassionate, adventurous",designer," action movies,  romantic movies,  family-friendly movies"
145,Sarah Miller,female,30,"energetic, compassionate, practical, meticulous, introspective",designer," documentaries,  sci-fi movies,  romantic movies,  action movies"
146,James Garcia,male,61,"caring, energetic, practical, fun-loving",teacher," romantic movies,  action movies,  thriller movies"
147,Robert Martinez,female,64,"practical, introspective, creative, compassionate, analytical",entrepreneur," thriller movies,  action movies,  classic movies,  sci-fi movies"
148,David Garcia,male,53,"fun-loving, analytical, empathetic, caring, practical",artist," sci-fi movies,  documentaries,  classic movies,  comedy movies"
149,Emily Smith,female,53,"energetic, creative, practical, ambitious, compassionate",designer," family-friendly movies,  thriller movies,  action movies"
150,Mary Taylor,male,58,"fun-loving, practical",artist, family-friendly movies
151,David Johnson,female,22,"independent, optimistic, ambitious, creative, empathetic",musician, sci-fi movies
152,Robert Taylor,male,65,"ambitious, fun-loving",retired, classic movies
153,Jane Jones,female,70,"patient, optimistic, adventurous, creative",artist," comedy movies,  sci-fi movies,  action movies,  documentaries,  romantic movies"
154,David Davis,male,52,"compassionate, energetic, caring, patient",student," action movies,  classic movies,  comedy movies"
155,Emily Brown,female,23,"adventurous, optimistic",actor, family-friendly movies
156,Jane Jones,male,66,"fun-loving, caring, energetic, ambitious",scientist," documentaries,  action movies"
157,Jane Jones,female,43,"meticulous, ambitious",writer," sci-fi movies,  action movies,  classic movies"
158,John Brown,male,61,"introspective, practical",teacher," classic movies,  thriller movies,  action movies,  comedy movies,  sci-fi movies"
159,Robert Taylor,female,34,"adventurous, ambitious, introspective",musician," family-friendly movies,  comedy movies,  thriller movies,  documentaries,  sci-fi movies"
160,Jane Jones,male,48,meticulous,photographer," classic movies,  documentaries,  sci-fi movies"
161,Sarah Martinez,female,48,"ambitious, optimistic, practical, analytical, patient",designer," thriller movies,  comedy movies,  sci-fi movies,  classic movies,  action movies"
162,Jane Davis,male,57,"meticulous, analytical, patient, practical",farmer, family-friendly movies
163,Emily Jones,female,23,"compassionate, ambitious, creative, practical",scientist," classic movies,  family-friendly movies,  documentaries,  romantic movies,  action movies"
164,James Davis,male,53,"introspective, outgoing, optimistic, empathetic",actor," sci-fi movies,  action movies,  thriller movies,  classic movies"
165,John Jones,female,64,"energetic, meticulous, compassionate",retired," documentaries,  classic movies,  thriller movies,  action movies,  family-friendly movies"
166,John Garcia,male,31,adventurous,retired," classic movies,  thriller movies"
167,Linda Taylor,female,21,"introspective, patient, analytical",retired," action movies,  classic movies,  documentaries,  romantic movies,  thriller movies"
168,Mary Smith,male,23,"creative, energetic, ambitious, fun-loving",entrepreneur," family-friendly movies,  thriller movies,  action movies,  classic movies"
169,John Davis,female,43,introspective,doctor," sci-fi movies,  classic movies,  comedy movies"
170,Emily Martinez,male,25,"introspective, ambitious, energetic, patient",scientist," documentaries,  romantic movies,  family-friendly movies,  action movies,  sci-fi movies"
171,James Smith,female,46,"energetic, analytical",photographer," romantic movies,  sci-fi movies,  family-friendly movies,  documentaries,  comedy movies"
172,John Jones,male,70,analytical,writer, romantic movies
173,James Smith,female,62,"adventurous, outgoing, energetic, patient",doctor," comedy movies,  family-friendly movies,  romantic movies,  thriller movies"
174,Linda Smith,male,49,"introspective, analytical, ambitious",farmer," documentaries,  thriller movies,  romantic movies,  sci-fi movies"
175,Michael Johnson,female,64,"empathetic, independent, practical, optimistic",farmer," romantic movies,  classic movies,  action movies"
176,David Williams,male,47,"adventurous, energetic, compassionate, analytical, independent",student," sci-fi movies,  family-friendly movies,  romantic movies"
177,Michael Martinez,female,36,analytical,writer, sci-fi movies
178,Michael Smith,male,48,caring,teacher," romantic movies,  comedy movies,  family-friendly movies"
179,David Brown,female,41,"fun-loving, energetic, introspective, optimistic, outgoing",farmer," action movies,  romantic movies,  classic movies,  thriller movies"
180,Jane Garcia,male,42,"patient, caring",scientist," family-friendly movies,  documentaries"
181,Robert Johnson,female,68,"independent, meticulous, optimistic, ambitious",scientist," romantic movies,  family-friendly movies,  classic movies,  action movies,  comedy movies"
182,James Brown,male,43,"optimistic, practical, energetic, patient, independent",farmer," sci-fi movies,  family-friendly movies,  comedy movies"
183,Robert Jones,female,67,"empathetic, optimistic",actor," action movies,  documentaries,  thriller movies"
184,Mary Williams,male,54,caring,lawyer, comedy movies
185,David Smith,female,61,"creative, practical, fun-loving, meticulous, empathetic",retired," action movies,  sci-fi movies,  romantic movies"
186,John Smith,male,53,"fun-loving, introspective, compassionate, caring",musician," comedy movies,  sci-fi movies,  action movies"
187,James Martinez,female,65,"caring, empathetic, compassionate",nurse," romantic movies,  sci-fi movies"
188,Robert Jones,male,26,"practical, caring",doctor," sci-fi movies,  romantic movies,  comedy movies,  thriller movies,  action movies"
189,Robert Johnson,female,65,"independent, patient",farmer," action movies,  classic movies,  romantic movies,  sci-fi movies"
190,Emily Smith,male,66,"energetic, outgoing, optimistic, creative, ambitious",actor," family-friendly movies,  romantic movies"
191,Emily Williams,female,44,optimistic,entrepreneur," sci-fi movies,  thriller movies"
192,Jane Smith,male,65,"energetic, meticulous, independent",photographer," action movies,  romantic movies,  documentaries,  family-friendly movies"
193,Robert Johnson,female,32,independent,lawyer," thriller movies,  classic movies,  sci-fi movies,  comedy movies"
194,Emily Miller,male,25,patient,nurse," classic movies,  family-friendly movies,  thriller movies,  romantic movies,  documentaries"
195,Mary Martinez,female,25,"adventurous, compassionate, practical, analytical",scientist, comedy movies
196,Michael Smith,male,61,"analytical, empathetic, fun-loving, introspective",photographer," classic movies,  family-friendly movies"
197,Jane Brown,female,25,"compassionate, caring, empathetic, ambitious, optimistic",entrepreneur," sci-fi movies,  documentaries,  classic movies"
198,Sarah Johnson,male,57,"compassionate, adventurous",photographer," family-friendly movies,  comedy movies,  action movies"
199,Sarah Garcia,female,56,ambitious,musician," documentaries,  family-friendly movies,  thriller movies,  sci-fi movies"
200,Michael Martinez,male,63,"introspective, optimistic",lawyer," sci-fi movies,  documentaries,  thriller movies,  classic movies,  romantic movies"
201,Sarah Miller,female,50,caring,artist," thriller movies,  comedy movies,  action movies,  documentaries,  sci-fi movies"
202,John Miller,male,27,"ambitious, caring, creative",doctor," documentaries,  romantic movies,  family-friendly movies"
203,Sarah Miller,female,35,analytical,entrepreneur," sci-fi movies,  documentaries,  family-friendly movies"
204,Jane Miller,male,20,"outgoing, fun-loving, independent, optimistic",musician, family-friendly movies
205,Sarah Smith,female,35,"outgoing, practical, fun-loving, introspective",photographer," documentaries,  sci-fi movies,  classic movies"
206,Jane Jones,male,43,"ambitious, introspective",doctor," action movies,  documentaries"
207,David Smith,female,28,"patient, empathetic, fun-loving",retired," comedy movies,  action movies,  classic movies,  documentaries,  sci-fi movies"
208,John Brown,male,21,"outgoing, empathetic, caring, adventurous, ambitious",nurse," sci-fi movies,  family-friendly movies,  documentaries,  comedy movies,  classic movies"
209,Linda Williams,female,54,ambitious,scientist," romantic movies,  thriller movies"
210,Robert Smith,male,25,creative,scientist," documentaries,  sci-fi movies,  thriller movies,  action movies"
211,James Johnson,female,53,"outgoing, caring",musician," romantic movies,  documentaries"
212,Robert Miller,male,47,"empathetic, outgoing, caring, meticulous, creative",lawyer," romantic movies,  classic movies,  comedy movies,  family-friendly movies"
213,Linda Smith,female,24,"creative, meticulous, ambitious, empathetic",scientist," classic movies,  comedy movies"
214,Emily Brown,male,34,"caring, patient, practical",scientist," thriller movies,  romantic movies"
215,Emily Martinez,female,56,"patient, optimistic, independent",actor," documentaries,  action movies,  romantic movies,  sci-fi movies"
216,Sarah Williams,male,52,"compassionate, meticulous, caring, fun-loving",farmer, sci-fi movies
217,Mary Martinez,female,22,"energetic, meticulous, ambitious, adventurous, compassionate",entrepreneur," action movies,  documentaries,  comedy movies"
218,Michael Miller,male,38,"fun-loving, ambitious, independent, caring",photographer," romantic movies,  documentaries,  classic movies,  sci-fi movies"
219,Sarah Taylor,female,40,"analytical, empathetic, ambitious",teacher," documentaries,  romantic movies,  thriller movies,  classic movies,  comedy movies"
220,Mary Johnson,male,47,"optimistic, adventurous, empathetic, fun-loving",engineer," family-friendly movies,  romantic movies,  comedy movies"
221,John Smith,female,23,"caring, patient, adventurous, independent",teacher," action movies,  thriller movies,  romantic movies,  comedy movies"
222,Emily Brown,male,36,introspective,student," comedy movies,  romantic movies,  action movies,  thriller movies"
223,Jane Martinez,female,69,"caring, introspective, adventurous, independent, patient",lawyer, classic movies
224,James Jones,male,52,"ambitious, introspective, analytical",farmer," romantic movies,  sci-fi movies,  family-friendly movies"
225,James Martinez,female,29,outgoing,student," sci-fi movies,  documentaries,  family-friendly movies,  romantic movies,  classic movies"
226,Linda Garcia,male,53,optimistic,artist," family-friendly movies,  sci-fi movies,  comedy movies"
227,Robert Smith,female,42,"fun-loving, patient, introspective, caring",designer," comedy movies,  action movies"
228,James Martinez,male,39,"empathetic, compassionate, analytical",artist," documentaries,  romantic movies"
229,James Martinez,female,44,"ambitious, outgoing",engineer," thriller movies,  family-friendly movies,  classic movies"
230,Linda Martinez,male,39,"patient, fun-loving, energetic, independent",musician," romantic movies,  classic movies,  documentaries,  family-friendly movies,  thriller movies"
231,Mary Williams,female,55,"analytical, creative, patient",musician," documentaries,  family-friendly movies,  action movies,  sci-fi movies"
232,Mary Garcia,male,66,"introspective, caring, compassionate",actor," comedy movies,  romantic movies,  action movies,  classic movies"
233,Michael Garcia,female,55,practical,entrepreneur, comedy movies
234,Linda Davis,male,45,"introspective, meticulous",teacher, family-friendly movies
235,Mary Smith,female,57,"ambitious, meticulous, compassionate, empathetic",retired, classic movies
236,Michael Miller,male,63,"fun-loving, energetic, compassionate, adventurous, empathetic",entrepreneur, action movies
237,Sarah Davis,female,41,fun-loving,entrepreneur," classic movies,  action movies"
238,Robert Jones,male,21,"energetic, empathetic",farmer," action movies,  documentaries,  romantic movies,  classic movies,  thriller movies"
239,Sarah Johnson,female,22,practical,farmer," documentaries,  action movies"
240,Robert Davis,male,47,"practical, energetic, optimistic, independent, empathetic",designer, documentaries
241,Sarah Smith,female,69,"fun-loving, patient, outgoing, empathetic, caring",farmer, action movies
242,Michael Johnson,male,32,practical,student," action movies,  comedy movies,  romantic movies,  documentaries"
243,Linda Jones,female,33,"optimistic, energetic, meticulous",photographer, family-friendly movies
244,Emily Miller,male,30,"independent, practical",actor," romantic movies,  action movies,  documentaries"
245,Michael Jones,female,27,"practical, empathetic",lawyer," sci-fi movies,  classic movies,  family-friendly movies,  thriller movies,  action movies"
246,Jane Martinez,male,35,"optimistic, adventurous, caring, fun-loving",musician," documentaries,  sci-fi movies,  comedy movies,  romantic movies"
247,Mary Johnson,female,27,"meticulous, ambitious, caring, optimistic, empathetic",teacher, classic movies
248,Michael Johnson,male,48,"patient, empathetic",scientist," thriller movies,  romantic movies"
249,Mary Smith,female,33,"meticulous, compassionate, practical, energetic, ambitious",artist," action movies,  thriller movies,  family-friendly movies,  classic movies"
250,John Jones,male,50,meticulous,musician," thriller movies,  comedy movies,  classic movies,  romantic movies"
251,John Jones,female,61,"independent, fun-loving",doctor," action movies,  family-friendly movies"
252,Emily Jones,male,35,"independent, outgoing",photographer," thriller movies,  family-friendly movies"
253,Emily Smith,female,38,"independent, creative, patient, empathetic, outgoing",doctor," comedy movies,  classic movies,  thriller movies,  action movies"
254,Jane Williams,male,26,"ambitious, caring, empathetic",nurse," action movies,  comedy movies,  classic movies"
255,Jane Brown,female,38,"fun-loving, introspective, optimistic, energetic, independent",musician," family-friendly movies,  romantic movies,  classic movies,  action movies"
256,Emily Martinez,male,70,practical,student," romantic movies,  classic movies"
257,David Williams,female,23,energetic,farmer," classic movies,  thriller movies,  action movies,  family-friendly movies"
258,Jane Martinez,male,43,"caring, introspective, optimistic, patient",lawyer, classic movies
259,Mary Miller,female,48,"adventurous, practical, empathetic, patient, analytical",photographer," classic movies,  thriller movies,  comedy movies,  sci-fi movies,  romantic movies"
260,Emily Miller,male,48,"practical, energetic",scientist," comedy movies,  thriller movies,  sci-fi movies,  action movies,  romantic movies"
261,Michael Davis,female,47,"introspective, ambitious, energetic, practical",scientist," romantic movies,  thriller movies,  sci-fi movies"
262,Emily Brown,male,62,"meticulous, energetic",designer, romantic movies
263,Mary Miller,female,47,"meticulous, patient",lawyer," classic movies,  comedy movies,  romantic movies"
264,David Taylor,male,50,"energetic, compassionate, patient, outgoing",writer," classic movies,  family-friendly movies"
265,Michael Johnson,female,54,"practical, patient, fun-loving",designer, sci-fi movies
266,Mary Johnson,male,54,"ambitious, compassionate",farmer," classic movies,  family-friendly movies,  thriller movies"
267,Jane Davis,female,55,"outgoing, independent",teacher, comedy movies
268,David Williams,male,62,"introspective, fun-loving",student," romantic movies,  documentaries,  sci-fi movies,  comedy movies,  family-friendly movies"
269,Sarah Jones,female,66,"energetic, creative, optimistic",lawyer," family-friendly movies,  sci-fi movies,  documentaries,  thriller movies"
270,David Taylor,male,51,"energetic, caring, introspective",doctor," documentaries,  family-friendly movies,  comedy movies,  romantic movies,  classic movies"
271,Mary Williams,female,63,"independent, compassionate, creative",artist," action movies,  comedy movies,  thriller movies"
272,Robert Johnson,male,47,"meticulous, creative",designer," documentaries,  action movies,  romantic movies"
273,John Taylor,female,51,"meticulous, introspective, outgoing, adventurous",photographer," thriller movies,  action movies,  documentaries"
